FD_call,available_set,FD_response,count,probability
313,"311,313,314,315",311,27,0.02611218568665377
313,"311,312,313,314,315",311,104,0.010325655281969817
313,"313,314,315",314,29,0.16477272727272727
315,"311,312,314,315",314,34,0.06841046277665996
311,"311,313,314,315",314,18,0.023376623376623377
314,"314,315",314,83,0.9431818181818182
312,"312,314,315",314,41,0.29285714285714287
312,"312,315",315,5,0.1111111111111111
314,"311,312,313",313,65,0.23465703971119134
314,"313,314,315",313,27,0.14754098360655737
314,"312,313,315",315,43,0.344
312,"311,312,313,315",315,61,0.05100334448160535
311,"311,312,313",311,68,0.8192771084337349
313,"311,314,315",311,39,0.15
315,"312,315",312,1,0.1111111111111111
315,"311,312,314,315",312,21,0.04225352112676056
315,"311,314,315",314,19,0.15833333333333333
311,"312,313,315",313,22,0.24444444444444444
311,"313,314,315",313,111,0.7551020408163265
313,"313,315",313,50,0.9615384615384616
315,"313,314,315",314,3,0.046875
313,"311,312,313,314",314,45,0.078397212543554
312,"314,315",314,48,0.9056603773584906
312,"313,314,315",313,66,0.4852941176470588
314,"312,313,314",312,9,0.125
313,"312,313,314,315",314,67,0.10105580693815988
312,"311,312,313",311,9,0.05027932960893855
312,"311,313,314,315",315,87,0.07712765957446809
311,"311,312,313,315",313,34,0.05582922824302135
312,"311,312,314",312,65,0.7558139534883721
314,"311,312,314",312,27,0.18120805369127516
314,"312,313,314,315",315,25,0.03263707571801567
314,"312,313,314",313,6,0.08333333333333333
314,"312,314",314,17,0.7391304347826086
311,"312,314",312,11,1.0
314,"313,315",313,31,0.6326530612244898
313,"314,315",314,42,0.9545454545454546
315,"311,312,313,314",312,69,0.18110236220472442
315,"311,313,314",314,63,0.9692307692307692
312,"311,313,314",313,40,0.2777777777777778
312,"311,313,315",311,71,0.19137466307277629
312,"311,312,314,315",315,15,0.014381591562799617
311,"312,313",312,7,0.6363636363636364
314,313,313,16,1.0
311,"311,313,314",311,44,0.88
312,"311,315",315,37,0.33035714285714285
314,"312,313",312,18,0.8181818181818182
312,313,313,18,1.0
312,"313,314,315",314,67,0.49264705882352944
313,"311,312",311,3,0.12
311,"311,312",311,25,0.9259259259259259
313,"311,315",315,7,0.1590909090909091
313,"311,312,313,314",311,9,0.0156794425087108
312,"311,313,314",314,86,0.5972222222222222
315,"312,314,315",314,3,0.061224489795918366
315,"312,315",315,8,0.8888888888888888
312,"312,313,315",313,26,0.18309859154929578
312,"311,312",312,36,0.8
312,"312,313,314",314,11,0.3142857142857143
312,"312,313",313,9,0.42857142857142855
312,"312,313,314",312,22,0.6285714285714286
312,"313,314",314,10,0.45454545454545453
313,"311,312,314",314,43,0.5443037974683544
311,"312,313,314",313,8,0.18604651162790697
315,"312,313,314,315",314,20,0.0547945205479452
315,"311,314",311,1,0.08333333333333333
315,314,314,2,1.0
313,"311,312,313",312,17,0.12318840579710146
315,"313,315",315,20,0.9523809523809523
312,"312,314",314,4,0.3333333333333333
312,312,312,7,1.0
311,"313,315",313,21,0.9130434782608695
313,"311,312,313,315",311,27,0.018430034129692834
312,"311,312,313",313,38,0.2122905027932961
313,"312,313",313,7,0.7777777777777778
315,"311,312,313,314,315",311,5,0.000768521364893944
313,"311,312,314",311,6,0.0759493670886076
315,"311,312,314",314,24,0.8
311,313,313,5,1.0
311,"311,314",311,12,0.9230769230769231
311,"311,312,313,314",312,33,0.09243697478991597
311,"313,314,315",314,36,0.24489795918367346
315,"312,313,314",314,22,0.88
312,"312,314",312,8,0.6666666666666666
315,"314,315",315,23,0.92
312,311,311,24,1.0
315,"311,312,314",312,6,0.2
315,"311,314",314,11,0.9166666666666666
313,313,313,10,1.0
314,"312,315",312,24,0.7741935483870968
311,"312,313,314,315",314,37,0.047073791348600506
312,"311,315",311,75,0.6696428571428571
315,"311,312",312,10,0.7692307692307693
311,"311,312,315",312,19,0.11801242236024845
314,314,314,12,1.0
313,"312,315",312,23,0.9583333333333334
311,"311,313,314,315",313,69,0.08961038961038961
311,"311,312,313,314,315",314,48,0.0075353218210361065
312,"313,315",313,37,0.7254901960784313
313,"312,313,314",312,6,0.1276595744680851
313,"313,314",314,1,0.09090909090909091
312,"311,314,315",315,19,0.06690140845070422
311,"311,312,313",313,6,0.07228915662650602
311,"311,312,313,314",313,21,0.058823529411764705
313,"311,313,314",314,14,0.19444444444444445
315,"311,313",313,8,0.8888888888888888
311,311,311,17,1.0
314,311,311,6,1.0
312,"311,313,314",311,18,0.125
313,"312,313,315",312,29,0.24786324786324787
311,"311,313,314",313,4,0.08
312,"312,313,315",315,6,0.04225352112676056
312,"312,313",312,12,0.5714285714285714
311,"311,314,315",314,10,0.04524886877828054
312,"311,314",314,27,0.7941176470588235
313,"312,313,314",314,4,0.0851063829787234
311,"311,313",313,2,0.04
311,"312,315",312,36,1.0
314,"312,315",315,7,0.22580645161290322
314,"311,313,314",313,23,0.08518518518518518
315,"313,314",314,8,1.0
315,"312,313",312,6,0.8571428571428571
314,"312,313",313,4,0.18181818181818182
315,"311,312,315",312,12,0.08
311,"311,312,314,315",314,5,0.007680491551459293
311,"311,312,313",312,9,0.10843373493975904
313,"311,312,313,314,315",315,19,0.001886417791898332
313,"311,314",314,12,0.75
314,"311,312,313,314,315",311,13,0.0009906271431837233
315,"311,312,313,315",313,3,0.0034403669724770644
314,"311,313,314",311,3,0.011111111111111112
312,"313,315",315,14,0.27450980392156865
312,"311,312,313,314",311,11,0.02391304347826087
312,"311,314",311,7,0.20588235294117646
312,"313,314,315",315,3,0.022058823529411766
313,"312,314",312,3,0.3333333333333333
314,315,315,18,1.0
314,"312,314,315",315,7,0.058823529411764705
314,"311,314,315",311,3,0.007334963325183374
311,"312,313",313,4,0.36363636363636365
315,315,315,19,1.0
311,"311,312,314",312,8,0.16
311,"312,314,315",314,13,0.07738095238095238
315,"311,312,313,314,315",313,13,0.0019981555487242546
313,"311,313,314,315",315,4,0.0038684719535783366
313,"311,314",311,4,0.25
315,"311,312,313",313,5,0.06578947368421052
311,"311,312",312,2,0.07407407407407407
315,"312,314",314,3,1.0
311,"312,314,315",315,1,0.005952380952380952
312,"313,314",313,12,0.5454545454545454
311,"313,315",315,2,0.08695652173913043
312,"311,313",311,17,0.2537313432835821
311,"311,312,313,314,315",315,12,0.0018838304552590266
311,"311,312,314,315",315,2,0.0030721966205837174
311,"311,312,313,315",315,3,0.0049261083743842365
311,"311,315",315,2,0.022222222222222223
312,315,315,15,1.0
311,314,314,3,1.0
312,"312,313,314,315",315,9,0.018036072144288578
315,"312,313,314",313,1,0.04
311,"311,313,314",314,2,0.04
313,311,311,8,1.0
313,"311,312,313",311,3,0.021739130434782608
312,"311,312,314",311,4,0.046511627906976744
314,"311,312,313,315",311,3,0.0016068559185859668
313,"311,312,313,315",315,5,0.0034129692832764505
312,"312,314,315",315,8,0.05714285714285714
